"category","word","meaning","example","translation","count"
"word formation","collect","collect (v) /kəˈlekt/; collector (n) /kəˈlektə(r)/; collection (n) /kəˈlekʃn/; collectable (adj) /kəˈlektəbl/; collected (adj) /kəˈlektɪd/; collective (adj) /kəˈlektɪv/; collectively (adv) /kəˈlektɪvli/","He began to collect coins as a child; The collector displayed rare paintings; The museum’s collection grew every year; These coins are highly collectable; The collected data was analyzed; It was a collective effort by the team; The changes were made collectively","thu thập; người sưu tầm; bộ sưu tập; có thể sưu tầm; được thu thập; tập thể; một cách tập thể",0
"word formation","come 2","overcome (v) /ˌəʊvəˈkʌm/; comeback (n) /ˈkʌmbæk/; newcomer (n) /ˈnjuːˌkʌmə(r)/; outcome (n) /ˈaʊtkʌm/; income (n) /ˈɪnkʌm/; coming (adj) /ˈkʌmɪŋ/; oncoming (adj) /ˈɒnkʌmɪŋ/; incoming (adj) /ˈɪnkʌmɪŋ/","He worked hard to overcome the setback; The band staged an impressive comeback; The newcomer was warmly welcomed; The outcome was better than expected; Her income increased after the promotion; The coming weeks will be busy; Watch for oncoming traffic; The incoming message was urgent","vượt qua; sự trở lại; người mới đến; kết quả; thu nhập; sắp tới; đang đến; mới đến",0
"word formation","compete","competition (n) /ˌkɒmpəˈtɪʃn/; competitor (n) /kəmˈpetɪtə(r)/; competitiveness (n) /kəmˈpetətɪvnəs/; competitive (adj) /kəmˈpetətɪv/; uncompetitive (adj) /ʌnˈkɒmpətɪtɪv/; competitively (adv) /kəmˈpetətɪvli/; uncompetitively (adv) /ʌnˈkɒmpətɪtɪvli/","She entered the annual competition with excitement; Every competitor trained for months; The company’s competitiveness led to growth; They offered competitive salaries to attract talent; The price is uncompetitive in the market; She sold her products competitively; They priced uncompetitively and lost customers","cuộc thi; đối thủ; tính cạnh tranh; cạnh tranh; không cạnh tranh; một cách cạnh tranh; một cách không cạnh tranh",0
"word formation","concept","conceptualise (v) /kənˈseptʃuəlaɪz/; concept (n) /ˈkɒnsept/; conception (n) /kənˈsepʃn/; conceivable (adj) /kənˈsiːvəbl/; inconceivable (adj) /ɪnkənˈsiːvəbl/; conceivably (adv) /kənˈsiːvəbli/; inconceivably (adv) /ɪnkənˈsiːvəbli/","He tried to conceptualise the process; The concept was easy to grasp; Her conception of the plan was innovative; That’s a conceivable solution; The alternative is inconceivable to most; It could conceivably happen; The system failed inconceivably fast","khái niệm hóa; khái niệm; quan niệm; có thể tưởng tượng; không thể tưởng tượng; một cách có thể tưởng tượng; một cách không thể tưởng tượng",0
"word formation","confuse","confusion (n) /kənˈfjuːʒn/; confused (adj) /kənˈfjuːzd/; confusing (adj) /kənˈfjuːzɪŋ/; confusingly (adv) /kənˈfjuːzɪŋli/","The instructions led to confusion among students; He looked confused during the test; The map is confusing to visitors; The information was presented confusingly","sự nhầm lẫn; bối rối; gây nhầm lẫn; một cách gây nhầm lẫn",0
"word formation","connect","disconnect (v) /ˌdɪskəˈnekt/; reconnect (v) /ˌriːkəˈnekt/; interconnect (v) /ˌɪntəkəˈnekt/; interconnection (n) /ˌɪntəkəˈnekʃn/; connection (n) /kəˈnekʃn/; disconnection (n) /ˌdɪskəˈnekʃn/; reconnection (n) /ˌriːkəˈnekʃn/; connector (n) /kəˈnektə(r)/","He needed to disconnect the power before repairs; The technician will reconnect the lines tomorrow; The devices interconnect seamlessly; The interconnection was tested; The internet connection dropped; A sudden disconnection ended the call; The reconnection was successful; The cable uses a standard connector","ngắt kết nối; kết nối lại; kết nối lẫn nhau; sự liên kết; kết nối; ngắt kết nối; kết nối lại; đầu nối",0
"word formation","conserve","conservation (n) /ˌkɒnsəˈveɪʃn/; conservationist (n) /ˌkɒnsəˈveɪʃənɪst/; conservative (adj) /kənˈsɜːvətɪv/; conservatively (adv) /kənˈsɜːvətɪvli/","Wildlife conservation is crucial for biodiversity; The conservationist spoke at the event; He dressed in a conservative manner; The estimate was conservatively low","sự bảo tồn; nhà bảo tồn; bảo thủ; một cách bảo thủ",0
"word formation","consider","consideration (n) /kənˌsɪdəˈreɪʃn/; considered (adj) /kənˈsɪdəd/; considering (prep) /kənˈsɪdərɪŋ/; considerable (adj) /kənˈsɪdərəbl/; inconsiderable (adj) /ɪnkənˈsɪdərəbl/; considerably (adv) /kənˈsɪdərəbli/","Your consideration is appreciated; She gave a considered reply; Considering the rain, we stayed home; There was a considerable delay; The change was inconsiderable; Prices rose considerably last year","sự cân nhắc; được xem là; xét đến; đáng kể; không đáng kể; một cách đáng kể",0
"word formation","content","content (n) /ˈkɒntent/; discontent (n) /dɪsˈkɒntent/; contented (adj) /kənˈtentɪd/; discontented (adj) /dɪsˈkɒntentɪd/","The book’s content was engaging; The decision led to discontent; She felt contented after the meal; Many were discontented with the changes","nội dung; bất mãn; hài lòng; không hài lòng",0
"word formation","continue","discontinue (v) /ˌdɪskənˈtɪnjuː/; continuation (n) /kənˌtɪnjuˈeɪʃn/; continuity (n) /ˌkɒntɪˈnjuːəti/; continual (adj) /kənˈtɪnjuəl/; continuous (adj) /kənˈtɪnjuəs/; continually (adv) /kənˈtɪnjuəli/; continuously (adv) /kənˈtɪnjuəsli/","They decided to discontinue the service; The continuation of the series was popular; The film lacked continuity; There were continual interruptions; Continuous rain delayed the match; He checked his phone continually; The machine operated continuously","ngừng lại; sự tiếp tục; tính liên tục; liên tục; liên tục; một cách liên tục; một cách liên tục",0
"word formation","convert","conversion (n) /kənˈvɜːʃn/; convertible (adj) /kənˈvɜːtəbl/","Their conversion to a new system took months; The couch is convertible into a bed","sự chuyển đổi; có thể chuyển đổi",0
"word formation","convince","conviction (n) /kənˈvɪkʃn/; convinced (adj) /kənˈvɪnst/; unconvinced (adj) /ʌnkənˈvɪnst/; convincing (adj) /kənˈvɪnsɪŋ/; unconvincing (adj) /ʌnkənˈvɪnsɪŋ/; convincingly (adv) /kənˈvɪnsɪŋli/; unconvincingly (adv) /ʌnkənˈvɪnsɪŋli/","Her conviction was clear during the speech; She appeared convinced by the evidence; He seemed unconvinced by the proposal; The argument was convincing; The excuse was unconvincing; She answered convincingly; He spoke unconvincingly about the reasons","sự tin chắc; bị thuyết phục; không bị thuyết phục; có sức thuyết phục; không có sức thuyết phục; một cách thuyết phục; một cách không thuyết phục",0
"word formation","crime 2","decriminalise (v) /ˈkrɪmɪnəlaɪz/; criminal (n) /ˈkrɪmɪnl/; criminality (n) /ˌkrɪmɪˈnæləti/; criminally (adv) /ˈkrɪmɪnəli/","The country chose to decriminalise certain offenses; The criminal was quickly arrested; Criminality is on the rise in the region; The law was broken criminally","không hình sự hóa; tội phạm; sự phạm tội; một cách phạm pháp",0
"word formation","decide 2","decision (n) /dɪˈsɪʒn/; decider (n) /dɪˈsaɪdə(r)/; decisiveness (n) /dɪˈsaɪsɪvnəs/; decisive (adj) /dɪˈsaɪsɪv/; indecisive (adj) /ɪndɪˈsaɪsɪv/; decisively (adv) /dɪˈsaɪsɪvli/","She made a quick decision; The game’s decider was tense; Decisiveness is vital for leaders; His action was decisive; He was indecisive about the offer; She acted decisively in the crisis","quyết định; trận quyết định; sự quyết đoán; quyết đoán; thiếu quyết đoán; một cách quyết đoán",0
"word formation","declare","declaration (n) /ˌdekləˈreɪʃn/; declared (adj) /dɪˈkleəd/; undeclared (adj) /ʌndɪˈkleəd/","The minister made a formal declaration; It was a declared conflict; He held an undeclared amount of money","tuyên bố; được công bố; không công bố",0
"word formation","deep","deepen (v) /ˈdiːpən/; depth (n) /depθ/; deeply (adv) /ˈdiːpli/","The discussion helped deepen their understanding; The lake’s depth surprised divers; She was deeply grateful for the help","làm sâu thêm; độ sâu; một cách sâu sắc",0
"word formation","define","definition (n) /ˌdefɪˈnɪʃn/; defined (adj) /dɪˈfaɪnd/; definitive (adj) /dɪˈfɪnətɪv/; definitely (adv) /ˈdefɪnətli/; indefinite (adj) /ɪnˈdefɪnət/; indefinitely (adv) /ɪnˈdefɪnətli/","He gave a precise definition in class; The project’s scope was clearly defined; The committee issued a definitive statement; The event will definitely happen; The deadline is indefinite for now; The plans were postponed indefinitely","định nghĩa; được xác định; dứt khoát; một cách chắc chắn; không xác định; một cách không xác định",0
"word formation","dense","density (n) /ˈdensəti/; independence (n) /ˌɪndɪˈpendəns/; dependence (n) /dɪˈpendəns/; dependent (adj) /dɪˈpendənt/; independent (adj) /ˌɪndɪˈpendənt/; dependently (adv) /dɪˈpendəntli/; independently (adv) /ˌɪndɪˈpendəntli/","The population density is high in the city; They celebrated their independence; His dependence on others decreased; She is still dependent on her parents; He became fully independent after college; They lived dependently for years; She solved the issue independently","mật độ; độc lập; sự phụ thuộc; phụ thuộc; độc lập; một cách phụ thuộc; một cách độc lập",0
"word formation","derive","derivation (n) /ˌderɪˈveɪʃn/; derivative (n/adj) /dɪˈrɪvətɪv/","The derivation of the word is Latin; That formula is a derivative of the original","nguồn gốc; bắt nguồn từ",0
"word formation","desire","desirable (adj) /dɪˈzaɪərəbl/; undesirable (adj) /ʌndɪˈzaɪərəbl/; desire (n) /dɪˈzaɪə(r)/; desired (adj) /dɪˈzaɪəd/; desirably (adv) /dɪˈzaɪərəbli/; undesirably (adv) /ʌndɪˈzaɪərəbli/","The property is in a desirable area; The job conditions were undesirable; She felt a strong desire to travel; The desired outcome was achieved; He was desirably qualified; The weather turned undesirably hot","đáng ao ước; không đáng ao ước; mong muốn; được mong muốn; một cách mong muốn; một cách không mong muốn",0
"word formation","destroy","destroyer (n) /dɪˈstrɔɪə(r)/; destruction (n) /dɪˈstrʌkʃn/; indestructible (adj) /ˌɪndɪˈstrʌktəbl/; destructive (adj) /dɪˈstrʌktɪv/; destructively (adv) /dɪˈstrʌktɪvli/","The destroyer sailed into port; The fire caused great destruction; The safe was indestructible; The criticism was destructive; He acted destructively during the argument","tàu khu trục; sự phá hủy; không thể phá hủy; phá hoại; một cách phá hoại",0
"word formation","distant","equidistant (adj) /ˌekwɪˈdɪstənt/; distantly (adv) /ˈdɪstəntli/","The houses are equidistant from the main road; She smiled distantly at her friend","cách đều nhau; một cách xa cách",0
"word formation","do","overdo (v) /ˌəʊvəˈduː/; outdo (v) /ˌaʊtˈduː/; redo (v) /ˌriːˈduː/; undo (v) /ʌnˈduː/; did (v) /dɪd/; done (adj) /dʌn/; doing (n) /ˈduːɪŋ/; doings (n) /ˈduːɪŋz/","Be careful not to overdo the exercise; She managed to outdo her competitors; Please redo the calculations; He tried to undo the knot; He did his best to help; The work is done for the day; What are you doing now? Strange doings were reported","làm quá sức; làm giỏi hơn; làm lại; hoàn tác; đã làm; đã xong; hành động; hành vi",0
"word formation","dominate","domineer (v) /ˌdɒmɪˈnɪə(r)/; domination (n) /ˌdɒmɪˈneɪʃn/; dominance (n) /ˈdɒmɪnəns/; predominant (adj) /prɪˈdɒmɪnənt/; dominant (adj) /ˈdɒmɪnənt/; dominating (adj) /ˈdɒmɪneɪtɪŋ/; predominantly (adv) /prɪˈdɒmɪnəntli/","He tends to domineer in meetings; The team’s domination was evident; Their dominance in the market continues; The predominant color was blue; She has a dominant personality; His presence was dominating; The staff was predominantly young","áp đặt; sự thống trị; sự trội hơn; vượt trội; thống trị; có tính thống trị; chủ yếu",0
"word formation","doubt","doubter (n) /ˈdaʊtə(r)/; doubtful (adj) /ˈdaʊtfl/; undoubted (adj) /ʌnˈdaʊtɪd/; doubtfully (adv) /ˈdaʊtfl(i)/; undoubtedly (adv) /ʌnˈdaʊtɪdli/","He is a doubter by nature; The plan is doubtful at best; She is an undoubted talent; He answered doubtfully; She is undoubtedly skilled","người nghi ngờ; đáng ngờ; không nghi ngờ; một cách nghi ngờ; một cách không nghi ngờ",0
"word formation","draw","withdraw (v) /wɪðˈdrɔː/; withdrew (v) /wɪðˈdruː/; drawn (adj) /drɔːn/; withdrawal (n) /wɪðˈdrɔːəl/; drawing (n) /ˈdrɔːɪŋ/; overdraft (n) /ˈəʊvədrɑːft/; overdrawn (adj) /ˌəʊvəˈdrɔːn/; withdrawable (adj) /wɪðˈdrɔːəbl/","She plans to withdraw from the contest; He withdrew his name from the list; The curtains were drawn at dusk; The withdrawal of troops took weeks; Her drawing was praised; He paid off his overdraft; The account is overdrawn; The funds are withdrawable at any time","rút lui; đã rút lui; được kéo; sự rút lui; bản vẽ; thấu chi; bị quá hạn; có thể rút",0
"word formation","duty","dutiful (adj) /ˈdjuːtɪfl/; dutifully (adv) /ˈdjuːtɪfli/","He was always dutiful in his tasks; She listened dutifully to instructions","có trách nhiệm; một cách có trách nhiệm",0
"word formation","ecology","ecologist (n) /ɪˈkɒlədʒɪst/; ecological (adj) /ˌiːkəˈlɒdʒɪkl/; ecologically (adv) /ˌiːkəˈlɒdʒɪkli/","The ecologist studied rare plants; They made an ecological assessment; The system was designed ecologically","nhà sinh thái học; thuộc sinh thái; một cách sinh thái",0
